ID,Bedrijfstak,Bedrijfstak_beschrijving,Periode_code,Periode,Periode_status,Waarde_1,Volume_2,Waarde_3,Volume_4,Waarde_5,Volume_6,Waarde_7,Volume_8,Omzet ongecorrigeerd Waarde,Omzet ongecorrigeerd Volume,Ontwikkeling t.o.v. een jaar eerder Waarde,Ontwikkeling t.o.v. een jaar eerder Volume
519,"4711, 472 Winkels in voedingsmiddelen","Deze categorie is een samentelling van categorieën: 
4711 Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
472 Gespecialiseerde winkels in voedings- en genotmiddelen",2017MM11,2017 november,Definitief,104.2,100.7,3.5,0.7,106.0,102.0,-0.1,-0.6,104.7,101.1,4.6,1.9
821,4711 Supermarkten,"Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
Deze klasse omvat: 
- winkels die voldoen aan de volgende eisen: 
 1) minimaal de helft van de omzet komt uit winkelverkoop van voedings- en genotmiddelen; 
 2) geen specialisatie, dus geen enkele (sub)klasse van de groep 472 heeft een omzetaandeel van 50% of meer; 
 3) uit elk van 5 verschillende (sub)klassen uit groep 472 wordt 5% of meer van de omzet gehaald. 
Deze criteria gelden per individuele vestiging. 
Deze klasse omvat niet: 
- winkels in diepvriesartikelen algemeen assortiment (47.29.9).",2017MM11,2017 november,Definitief,104.9,101.4,4.1,1.3,106.9,103.0,0.1,-0.4,105.4,102.0,5.2,2.6
1123,"4719, 474-477 Winkels in non-foodart.","Winkels in non-foodartikelen 
Deze categorie is een samentelling van categorieën: 
4719 Warenhuizen en dergelijke winkels met een algemeen assortiment non-food 
474 Winkels in consumenten-elektronica 
475 Winkels in overige huishoudelijke artikelen 
476 Winkels in lectuur, sport-, kampeer- en recreatie-artikelen 
477 Winkels en in overige artikelen""",2017MM11,2017 november,Definitief,109.1,107.5,4.7,4.7,106.3,105.6,3.2,2.3,110.1,108.5,5.1,5.2
1425,472 Winkels in voedingsmiddelen,"Gespecialiseerde winkels in voedings- en genotmiddelen 
Deze groep omvat de klassen: 
4721 Winkels in aardappelen, groenten en fruit 
4722 Winkels in vlees en vleeswaren, wild en gevogelte 
4723 Winkels in vis en schaal- en weekdieren 
4724 Winkels in brood, banket chocolade en suikerwerk 
4725 Winkels in dranken (geen zuivel) 
4726 Winkels in tabaksproducten en rokersbenodigdheden 
4729 Winkels gespecialiseerd in overige voedings- en genotmiddelen",2017MM11,2017 november,Definitief,99.8,95.6,-0.3,-3.5,100.4,96.0,-1.6,-1.6,100.1,95.9,0.6,-2.7
1727,474 Winkels in consumentenelektronica,"Winkels in consumentenelektronica 
Deze groep omvat: 
- winkels in computers (hardware en software) en randapparaten; 
- winkels in communicatieapparatuur, zoals mobieltjes en telefoons; 
- winkels in witgoed en in audio- en videoapparatuur of in een algemeen assortiment van wit- en bruingoed.",2017MM11,2017 november,Definitief,109.7,113.1,6.5,8.1,100.4,104.2,6.3,6.4,110.3,113.6,6.2,7.7
2029,475 Winkels in overige huishoudwaren,"Winkels in overige huishoudelijke artikelen 
Deze groep omvat de klassen: 
4751 Winkels in kledingstoffen, huishoudtextiel en fournituren 
4752 Winkels in doe-het-zelfartikelen 
4753 Winkels in vloerbedekking en gordijnen 
4754 Winkels in elektrische huishoudelijke apparatuur en onderdelen daarvoor 
4759 Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2017MM11,2017 november,Definitief,113.3,112.4,6.1,5.7,110.5,109.5,1.6,1.1,114.3,113.5,6.3,5.9
2331,"Winkels in meubels, woninginrichting alg","Winkels in meubels, woninginrichting alg 
Deze categorie is een samentelling van categorieën: 
4759.1 Winkels in meubels 
4759.2 Winkels in verlichtingsartikelen
4759.3 Winkels in artikelen voor woninginrichting algemeen assortiment",2017MM11,2017 november,Definitief,121.1,118.0,10.6,9.7,118.3,115.1,1.8,1.3,122.0,118.9,10.7,9.8
2633,4752 Winkels in doe-het-zelfartikelen,"Winkels in doe-het-zelfartikelen 
Deze klasse omvat: 
- winkels in ijzerwaren en gereedschappen voor doe-het-zelf en klein ambachtelijk gebruik; 
- winkels in tuingereedschappen, grasmaaiers e.d. 
- winkels in hang- en sluitwerk; 
- winkels in verf en verfwaren; 
- winkels in behang; 
- winkels met een assortiment bestaande uit verf en verfwaren, behang, gordijnen en gordijnstoffen, binnenzonweringen en jaloezieën; 
- winkels in houten bouw- en tuinmaterialen: 
 w.o. ramen, deuren, kozijnen, trappen en trapleuningen, plaatmateriaal, palen, balken; 
 w.o. pergola's, tuinhekken, schermen, tuinhuisjes enz.; 
- winkels in wand- en vloertegels; 
- winkels in sierstenen en -tegels, sierbanden, keien e.d. bestratingen voor tuin en terras; 
- winkels in keukens en keukenkasten; 
- winkels in parket-, laminaat- en kurkvloeren; 
- winkels in overige bouwmaterialen: 
 w.o. bouwstenen, dakpannen en andere betonelementen voor de bouw; 
 w.o. sanitaire artikelen en sanitair installatiemateriaal: 
 w.o. badkuipen, toiletten en wastafels; 
 w.o. leidingen, fittingen, kranen enz.; 
 w.o. boilers en geisers; 
 w.o. vlakglas; 
 w.o. open haarden, voorzethaarden e.d. inclusief de rookafvoerkanalen; 
 w.o. sauna's.",2017MM11,2017 november,Definitief,112.5,113.5,6.9,6.5,113.8,114.6,1.9,1.1,113.8,114.9,7.5,7.2
2935,47528 Bouwmarkten,"Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment 
Deze klasse omvat: 
- detailhandel in bouwmaterialen algemeen assortiment waarvan de artikelengroepen 47.52.1, 47.52.2, 47.52.3, 47.52.4 en 47.52.7 deel uit maken waarbij het omzetaandeel van genoemde artikelengroepen afzonderlijk 5 of meer, maar minder dan 50 % uitmaakt van de omzet. 
Eventueel in combinatie met: 
- op maat zagen of snijden van hout, glas en tegels; 
- verhuur van bouwmachines en gereedschappen.",2017MM11,2017 november,Definitief,104.4,105.4,6.9,6.5,113.2,114.0,2.0,1.3,105.3,106.3,7.7,7.4
3237,4759 Winkels overige huishoudartikelen,"Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2017MM11,2017 november,Definitief,114.0,111.1,5.1,4.6,108.1,105.2,1.0,0.7,114.8,111.9,5.1,4.6
3539,476 Winkels in recreatieartikelen,"Winkels in lectuur, sport-, kampeer- en recreatieartikelen",2017MM11,2017 november,Definitief,103.1,98.6,-3.1,-3.8,99.4,95.6,2.7,2.6,103.4,99.0,-2.6,-3.3
3841,4765 Speelgoedwinkels,"Winkels in speelgoed 
Deze klasse omvat: 
- winkels in speelgoed, spellen, puzzels e.d., ook in spelcomputers en modelbouwdozen.",2017MM11,2017 november,Definitief,179.2,171.6,-10.7,-13.9,87.9,83.5,1.8,3.1,179.2,171.6,-10.7,-13.9
4143,4771 Winkels in kleding,Winkels in kleding en modeartikelen; textielsupermarkten,2017MM11,2017 november,Definitief,104.2,99.9,0.3,1.2,105.5,105.0,4.3,0.9,105.6,101.6,1.5,2.7
4445,4772 Winkels in schoenen en lederwaren,Winkels in schoenen en lederwaren,2017MM11,2017 november,Definitief,90.7,88.8,4.9,6.2,94.5,94.7,2.9,2.7,92.1,90.3,6.0,7.3
4747,47741 Drogisterijen,"Winkels in drogisterijartikelen 
Deze klasse omvat: 
- winkels met het volgende pakket: zelfzorggeneesmiddelen, gezondheidsproducten en verplegingsartikelen in combinatie met parfums, decoratieve en verzorgende cosmetica, producten voor mond- en haarverzorging waarbij het omzetaandeel parfums en cosmetica minder dan 50% uitmaakt van de omzet; 
- winkels in schoonmaakartikelen en borstelwaren.",2017MM11,2017 november,Definitief,109.2,110.5,4.5,3.9,107.2,107.3,2.8,2.6,110.8,112.0,5.5,4.7
5049,"4791 Postorderbedrijven, webwinkels","Detailhandel via internet 
Deze klasse omvat: 
- verkoop aan consumenten via internet: de transactie wordt gesloten via internet; 
- verkoop aan consumenten per postorder. 
De goederen worden naar de koper gezonden, nadat deze zijn keuze heeft gemaakt aan de hand van advertenties, catalogi, showmodellen of een andere vorm van adverteren; 
- verkoop aan consumenten via radio en televisie; 
- verkoop aan consumenten via internetsites, siteshopping; 
- verkoop aan consumenten via de telefoon; 
- telefonische verkoop van abonnementen; 
- verkoop via downloaden van boeken e.d.; 
- internetveilingen. 
Deze klasse omvat niet: 
- verkoop aan consumenten via colportage, huisparty's e.d. (47.99.1); 
- callcenters die voor derden telefonische bestellingen van consumenten opnemen, zoals naar aanleiding van radio- en t.v.reclamespots (82.20).",2017MM11,2017 november,Definitief,166.4,163.3,18.0,17.2,151.6,150.0,5.6,5.4,166.4,163.3,18.0,17.2
218,Detailhandel geen tankstations en apoth.,"Detailhandel (geen autohandel, tankstations en apotheken) 
Dit betreft de totale detailhandel, exclusief tankstations (4730) en apotheken (4773). 
Onder detailhandel verstaat het CBS het verhandelen van niet in het  eigen bedrijf vervaardigde goederen aan consumenten, voor persoonlijk  of huishoudelijk gebruik. Deze bedrijfstak omvat winkels in food, winkels in non-food, postorderbedrijven, internetverkopers en ambulante handel. De handel in auto's valt hier niet onder.",2017MM12,2017 december,Definitief,125.6,123.5,3.7,2.7,108.1,105.8,-1.1,-1.3,126.3,124.4,1.8,0.7
520,"4711, 472 Winkels in voedingsmiddelen","Deze categorie is een samentelling van categorieën: 
4711 Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
472 Gespecialiseerde winkels in voedings- en genotmiddelen",2017MM12,2017 december,Definitief,119.5,115.2,3.8,1.8,106.8,102.8,0.7,0.7,121.3,117.2,1.6,-0.4
822,4711 Supermarkten,"Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
Deze klasse omvat: 
- winkels die voldoen aan de volgende eisen: 
 1) minimaal de helft van de omzet komt uit winkelverkoop van voedings- en genotmiddelen; 
 2) geen specialisatie, dus geen enkele (sub)klasse van de groep 472 heeft een omzetaandeel van 50% of meer; 
 3) uit elk van 5 verschillende (sub)klassen uit groep 472 wordt 5% of meer van de omzet gehaald. 
Deze criteria gelden per individuele vestiging. 
Deze klasse omvat niet: 
- winkels in diepvriesartikelen algemeen assortiment (47.29.9).",2017MM12,2017 december,Definitief,115.8,111.7,4.5,2.6,107.5,103.5,0.6,0.5,117.8,113.9,2.4,0.5
1124,"4719, 474-477 Winkels in non-foodart.","Winkels in non-foodartikelen 
Deze categorie is een samentelling van categorieën: 
4719 Warenhuizen en dergelijke winkels met een algemeen assortiment non-food 
474 Winkels in consumenten-elektronica 
475 Winkels in overige huishoudelijke artikelen 
476 Winkels in lectuur, sport-, kampeer- en recreatie-artikelen 
477 Winkels en in overige artikelen""",2017MM12,2017 december,Definitief,124.1,124.0,1.3,1.0,103.8,102.9,-2.4,-2.6,124.3,124.1,-0.6,-0.9
1426,472 Winkels in voedingsmiddelen,"Gespecialiseerde winkels in voedings- en genotmiddelen 
Deze groep omvat de klassen: 
4721 Winkels in aardappelen, groenten en fruit 
4722 Winkels in vlees en vleeswaren, wild en gevogelte 
4723 Winkels in vis en schaal- en weekdieren 
4724 Winkels in brood, banket chocolade en suikerwerk 
4725 Winkels in dranken (geen zuivel) 
4726 Winkels in tabaksproducten en rokersbenodigdheden 
4729 Winkels gespecialiseerd in overige voedings- en genotmiddelen",2017MM12,2017 december,Definitief,142.7,137.4,0.2,-2.1,102.0,97.8,1.6,1.9,143.3,138.1,-2.4,-4.6
1728,474 Winkels in consumentenelektronica,"Winkels in consumentenelektronica 
Deze groep omvat: 
- winkels in computers (hardware en software) en randapparaten; 
- winkels in communicatieapparatuur, zoals mobieltjes en telefoons; 
- winkels in witgoed en in audio- en videoapparatuur of in een algemeen assortiment van wit- en bruingoed.",2017MM12,2017 december,Definitief,125.2,130.6,-3.1,-0.7,93.8,98.1,-6.6,-5.8,125.6,131.1,-4.9,-2.6
2030,475 Winkels in overige huishoudwaren,"Winkels in overige huishoudelijke artikelen 
Deze groep omvat de klassen: 
4751 Winkels in kledingstoffen, huishoudtextiel en fournituren 
4752 Winkels in doe-het-zelfartikelen 
4753 Winkels in vloerbedekking en gordijnen 
4754 Winkels in elektrische huishoudelijke apparatuur en onderdelen daarvoor 
4759 Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2017MM12,2017 december,Definitief,116.3,115.7,1.1,1.4,108.1,107.5,-2.2,-1.9,115.5,114.8,-1.5,-1.2
2332,"Winkels in meubels, woninginrichting alg","Winkels in meubels, woninginrichting alg 
Deze categorie is een samentelling van categorieën: 
4759.1 Winkels in meubels 
4759.2 Winkels in verlichtingsartikelen
4759.3 Winkels in artikelen voor woninginrichting algemeen assortiment",2017MM12,2017 december,Definitief,125.1,121.7,5.7,5.2,116.4,113.2,-1.7,-1.7,124.2,120.8,3.1,2.6
2634,4752 Winkels in doe-het-zelfartikelen,"Winkels in doe-het-zelfartikelen 
Deze klasse omvat: 
- winkels in ijzerwaren en gereedschappen voor doe-het-zelf en klein ambachtelijk gebruik; 
- winkels in tuingereedschappen, grasmaaiers e.d. 
- winkels in hang- en sluitwerk; 
- winkels in verf en verfwaren; 
- winkels in behang; 
- winkels met een assortiment bestaande uit verf en verfwaren, behang, gordijnen en gordijnstoffen, binnenzonweringen en jaloezieën; 
- winkels in houten bouw- en tuinmaterialen: 
 w.o. ramen, deuren, kozijnen, trappen en trapleuningen, plaatmateriaal, palen, balken; 
 w.o. pergola's, tuinhekken, schermen, tuinhuisjes enz.; 
- winkels in wand- en vloertegels; 
- winkels in sierstenen en -tegels, sierbanden, keien e.d. bestratingen voor tuin en terras; 
- winkels in keukens en keukenkasten; 
- winkels in parket-, laminaat- en kurkvloeren; 
- winkels in overige bouwmaterialen: 
 w.o. bouwstenen, dakpannen en andere betonelementen voor de bouw; 
 w.o. sanitaire artikelen en sanitair installatiemateriaal: 
 w.o. badkuipen, toiletten en wastafels; 
 w.o. leidingen, fittingen, kranen enz.; 
 w.o. boilers en geisers; 
 w.o. vlakglas; 
 w.o. open haarden, voorzethaarden e.d. inclusief de rookafvoerkanalen; 
 w.o. sauna's.",2017MM12,2017 december,Definitief,110.6,112.7,3.9,4.5,111.1,112.9,-2.3,-1.5,109.5,111.5,1.0,1.6
2936,47528 Bouwmarkten,"Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment 
Deze klasse omvat: 
- detailhandel in bouwmaterialen algemeen assortiment waarvan de artikelengroepen 47.52.1, 47.52.2, 47.52.3, 47.52.4 en 47.52.7 deel uit maken waarbij het omzetaandeel van genoemde artikelengroepen afzonderlijk 5 of meer, maar minder dan 50 % uitmaakt van de omzet. 
Eventueel in combinatie met: 
- op maat zagen of snijden van hout, glas en tegels; 
- verhuur van bouwmachines en gereedschappen.",2017MM12,2017 december,Definitief,112.5,114.6,6.2,6.8,111.5,113.2,-1.5,-0.7,111.7,113.8,3.6,4.2
3238,4759 Winkels overige huishoudartikelen,"Winkels in meubels, verlichting en overige huishoudelijke artikelen (rest)",2017MM12,2017 december,Definitief,121.2,117.9,-0.5,-0.5,106.3,103.4,-1.7,-1.7,120.6,117.3,-2.9,-2.9
3540,476 Winkels in recreatieartikelen,"Winkels in lectuur, sport-, kampeer- en recreatieartikelen",2017MM12,2017 december,Definitief,111.4,107.9,-4.6,-4.6,96.4,92.9,-3.0,-2.8,111.5,107.9,-5.6,-5.7
3842,4765 Speelgoedwinkels,"Winkels in speelgoed 
Deze klasse omvat: 
- winkels in speelgoed, spellen, puzzels e.d., ook in spelcomputers en modelbouwdozen.",2017MM12,2017 december,Definitief,157.2,152.9,-5.9,-8.0,90.1,86.2,2.6,3.2,157.2,152.9,-5.9,-8.0
4144,4771 Winkels in kleding,Winkels in kleding en modeartikelen; textielsupermarkten,2017MM12,2017 december,Definitief,120.6,120.8,-1.3,-2.4,104.6,102.7,-0.8,-2.2,121.5,121.4,-3.0,-4.3
4446,4772 Winkels in schoenen en lederwaren,Winkels in schoenen en lederwaren,2017MM12,2017 december,Definitief,104.0,108.6,3.9,6.8,93.2,92.5,-1.4,-2.3,105.1,109.7,2.4,5.0
4748,47741 Drogisterijen,"Winkels in drogisterijartikelen 
Deze klasse omvat: 
- winkels met het volgende pakket: zelfzorggeneesmiddelen, gezondheidsproducten en verplegingsartikelen in combinatie met parfums, decoratieve en verzorgende cosmetica, producten voor mond- en haarverzorging waarbij het omzetaandeel parfums en cosmetica minder dan 50% uitmaakt van de omzet; 
- winkels in schoonmaakartikelen en borstelwaren.",2017MM12,2017 december,Definitief,121.4,122.5,1.1,-0.7,102.4,102.4,-4.5,-4.6,121.0,122.2,-1.6,-3.2
5050,"4791 Postorderbedrijven, webwinkels","Detailhandel via internet 
Deze klasse omvat: 
- verkoop aan consumenten via internet: de transactie wordt gesloten via internet; 
- verkoop aan consumenten per postorder. 
De goederen worden naar de koper gezonden, nadat deze zijn keuze heeft gemaakt aan de hand van advertenties, catalogi, showmodellen of een andere vorm van adverteren; 
- verkoop aan consumenten via radio en televisie; 
- verkoop aan consumenten via internetsites, siteshopping; 
- verkoop aan consumenten via de telefoon; 
- telefonische verkoop van abonnementen; 
- verkoop via downloaden van boeken e.d.; 
- internetveilingen. 
Deze klasse omvat niet: 
- verkoop aan consumenten via colportage, huisparty's e.d. (47.99.1); 
- callcenters die voor derden telefonische bestellingen van consumenten opnemen, zoals naar aanleiding van radio- en t.v.reclamespots (82.20).",2017MM12,2017 december,Definitief,178.2,176.3,18.4,17.2,147.5,145.6,-2.7,-2.9,177.3,175.5,16.5,15.3
219,Detailhandel geen tankstations en apoth.,"Detailhandel (geen autohandel, tankstations en apotheken) 
Dit betreft de totale detailhandel, exclusief tankstations (4730) en apotheken (4773). 
Onder detailhandel verstaat het CBS het verhandelen van niet in het  eigen bedrijf vervaardigde goederen aan consumenten, voor persoonlijk  of huishoudelijk gebruik. Deze bedrijfstak omvat winkels in food, winkels in non-food, postorderbedrijven, internetverkopers en ambulante handel. De handel in auto's valt hier niet onder.",2017KW04,2017 4e kwartaal,Definitief,115.2,113.0,3.6,2.6,108.2,106.2,0.9,0.8,114.8,112.5,2.6,1.6
521,"4711, 472 Winkels in voedingsmiddelen","Deze categorie is een samentelling van categorieën: 
4711 Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
472 Gespecialiseerde winkels in voedings- en genotmiddelen",2017KW04,2017 4e kwartaal,Definitief,109.8,106.1,3.6,1.2,106.3,102.5,1.4,1.4,109.4,105.7,2.6,0.2
823,4711 Supermarkten,"Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen 
Deze klasse omvat: 
- winkels die voldoen aan de volgende eisen: 
 1) minimaal de helft van de omzet komt uit winkelverkoop van voedings- en genotmiddelen; 
 2) geen specialisatie, dus geen enkele (sub)klasse van de groep 472 heeft een omzetaandeel van 50% of meer; 
 3) uit elk van 5 verschillende (sub)klassen uit groep 472 wordt 5% of meer van de omzet gehaald. 
Deze criteria gelden per individuele vestiging. 
Deze klasse omvat niet: 
- winkels in diepvriesartikelen algemeen assortiment (47.29.9).",2017KW04,2017 4e kwartaal,Definitief,109.2,105.5,4.2,1.8,107.1,103.3,1.7,1.8,108.8,105.2,3.2,0.8
